time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
16,0,0,2.0598491404301971,2.8035976614355995,2.0598491426917533,2.803597663538254,-3.3254381429124704,-4.399931207689499,-3.3254381381915112,-4.3999312020011141,-4.7209591791386174e-09,-5.6883848742472765e-09,-2.2615562755845531e-09,-2.1026544949620529e-09
16.5,0,0,1.9906231772807665,2.7497107352411096,1.9906231796493432,2.7497107374326228,-3.1932786918837763,-4.2807227067768983,-3.1932786872649883,-4.2807227013394149,-4.6187880187176233e-09,-5.4374833524661881e-09,-2.3685766681325049e-09,-2.1915131931393717e-09
17,0,0,1.9232826424865077,2.6970645905151924,1.9232826449599481,2.6970645927915569,-3.0653013401497553,-4.1651977989210538,-3.0653013356248464,-4.1651977934972537,-4.5249088920229497e-09,-5.423800075732288e-09,-2.4734403414328199e-09,-2.2763644302870034e-09
17.5,0,0,1.8577839129683715,2.6456266963292943,1.8577839155446585,2.6456266986902204,-2.9413886866867207,-4.0532387586169003,-2.9413886822189883,-4.0532387532103504,-4.4677324062547541e-09,-5.4065498744648721e-09,-2.5762869615419959e-09,-2.3609261212698129e-09
18,0,0,1.794084049015112,2.5953654852535717,1.7940840516929857,2.5953654876987007,-2.8214261209527631,-3.9447316253527713,-2.8214261166569092,-3.9447316200249234,-4.2958538948312253e-09,-5.3278479406060342e-09,-2.6778737005628273e-09,-2.4451289881710636e-09
18.5,0,0,1.7321408030277199,2.5462503215240129,1.7321408058035257,2.5462503240520031,-2.7053017900478058,-3.8395660938100349,-2.7053017858410393,-3.8395660886520813,-4.2067664907108338e-09,-5.1579536197721154e-09,-2.7758058074311975e-09,-2.5279902615693572e-09
19,0,0,1.6719126264679081,2.4982514702113869,1.6719126293396906,2.4982514728194536,-2.5929065604412029,-3.7376354029623418,-2.5929065562751288,-3.7376353980029622,-4.1660741523230627e-09,-4.9593795736768698e-09,-2.871782589508598e-09,-2.6080666515326811e-09
19.5,0,0,1.6133586752146185,2.4513400674230756,1.613358678181382,2.4513400701079862,-2.4841339762623638,-3.6388362259310232,-2.4841339723930242,-3.6388362209761689,-3.8693395154609789e-09,-4.9548543046284976e-09,-2.9667635015329097e-09,-2.6849105161375064e-09
20,0,0,1.5564388134879841,2.4054880915398367,1.5564388165433956,2.4054880943013894,-2.3788802154052822,-3.5430685616808462,-2.3788802117745775,-3.5430685568905624,-3.6307046258343689e-09,-4.7902837252422614e-09,-3.0554114793801546e-09,-2.7615527642410598e-09
20.5,0,0,1.5011136164710959,2.3606683354726044,1.5011136196100443,2.3606683383080518,-2.2770440442420496,-3.450235629171571,-2.2770440404777008,-3.4502356244146597,-3.7643488326466468e-09,-4.7569113093004489e-09,-3.1389484345112351e-09,-2.8354474324032708e-09
21,0,0,1.4473443717403498,2.3168543799147692,1.4473443749654462,2.3168543828234229,-2.1785267714605459,-3.3602437642967771,-2.1785267678229974,-3.3602437598331352,-3.6375484846473682e-09,-4.4636419005428252e-09,-3.225096412151629e-09,-2.9086537622902142e-09
21.5,0,0,1.3950930796014605,2.2740205675601652,1.3950930829098456,2.2740205705372678,-2.0832322013688302,-3.2730023197698772,-2.0832321978380643,-3.273002315472648,-3.5307659018712911e-09,-4.2972292391141309e-09,-3.3083851214144033e-09,-2.9771025644720339e-09
22,0,0,1.3443224524182107,2.232141978254409,1.344322455807397,2.2321419812971968,-1.9910665869014741,-3.1884235680142026,-1.9910665836262011,-3.1884235638535849,-3.275272941749563e-09,-4.1606176282016349e-09,-3.3891862649682025e-09,-3.0427877995009567e-09
22.5,0,0,1.2949959130133082,2.1911944050462622,1.2949959164776992,2.1911944081524259,-1.9019385824957307,-3.1064226070525125,-1.9019385794592183,-3.1064226030525188,-3.0365123748765654e-09,-3.9999936696233362e-09,-3.4643909962994712e-09,-3.1061637706386591e-09
23,0,0,1.2470775922145181,2.1511543311056696,1.2470775957488653,2.1511543342725017,-1.8157591969625277,-3.0269172693552222,-1.8157591941125795,-3.0269172653771528,-2.8499482773725049e-09,-3.9780694294222485e-09,-3.534347259304127e-09,-3.1668321298639057e-09
23.5,0,0,1.2005323256140286,2.1119989074756353,1.2005323292141783,2.1119989107025856,-1.7324417464493103,-2.9498280335857956,-1.7324417436518149,-2.9498280297759476,-2.7974953464848795e-09,-3.8098479926418349e-09,-3.6001497338844501e-09,-3.2269502625581481e-09
24,0,0,1.155325649604465,2.0737059316259518,1.1553256532690475,2.0737059349101634,-1.6519018075730587,-2.875077939170319,-1.6519018048848573,-2.8750779355945912,-2.6882014392271003e-09,-3.5757277139225607e-09,-3.6645824152969908e-09,-3.284211569365425e-09
24.5,0,0,1.1114237967509124,2.0362538267777817,1.111423800477336,2.036253830115371,-1.5740571707887969,-2.8025925036124431,-1.5740571683571605,-2.8025925001837511,-2.4316364477527941e-09,-3.4286919969872542e-09,-3.7264236141254514e-09,-3.3375893160325631e-09
25,0,0,1.0687936905546129,1.9996216219692051,1.0687936943372025,1.999621625357648,-1.4988277940494759,-2.7322996424724266,-1.4988277918445732,-2.7322996394019405,-2.204902704860956e-09,-3.0704860876085149e-09,-3.7825895748966332e-09,-3.3884428596309135e-09
