time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
13,0,0,2.5173245883982132,3.1549271290951233,2.5173245883982087,3.1549271290951095,-4.2131468815514799,-5.1996279748977141,-4.2131468815514941,-5.1996279748977585,1.4210854715202004e-14,4.4408920985006262e-14,4.4408920985006262e-15,1.3766765505351941e-14
13.5,0,0,2.4358334331969869,3.0928542200304374,2.435833433196982,3.0928542200304232,-4.0532727838914315,-5.0556236932095455,-4.0532727838914475,-5.0556236932095908,1.5987211554602254e-14,4.5297099404706387e-14,4.8849813083506888e-15,1.4210854715202004e-14
14,0,0,2.356502976922076,3.0322393749012839,2.3565029769220707,3.0322393749012688,-3.8983435208271215,-4.9160929995270353,-3.8983435208271371,-4.9160929995270806,1.5543122344752192e-14,4.5297099404706387e-14,5.3290705182007514e-15,1.5099033134902129e-14
14.5,0,0,2.2792858364760251,2.9730435834767817,2.2792858364760189,2.9730435834767661,-3.7482253617950194,-4.7808941409774937,-3.7482253617950332,-4.7808941409775381,1.3766765505351941e-14,4.4408920985006262e-14,6.2172489379008766e-15,1.5543122344752192e-14
15,0,0,2.2041351936106115,2.9152289967278096,2.2041351936106044,2.915228996727794,-3.6027870306593615,-4.6498893396627983,-3.6027870306593766,-4.6498893396628418,1.5099033134902129e-14,4.3520742565306136e-14,7.1054273576010019e-15,1.5543122344752192e-14
15.5,0,0,2.13100482756753,2.8587588962807731,2.131004827567522,2.8587588962807571,-3.4618999089346412,-4.5229448977299009,-3.4618999089346549,-4.5229448977299427,1.3766765505351941e-14,4.1744385725905886e-14,7.9936057773011271e-15,1.5987211554602254e-14
16,0,0,2.0598491404301971,2.8035976614355995,2.0598491404301886,2.8035976614355835,-3.3254381429124704,-4.399931207689499,-3.3254381429124837,-4.3999312076895389,1.3322676295501878e-14,3.9968028886505635e-14,8.4376949871511897e-15,1.5987211554602254e-14
16.5,0,0,1.9906231772807665,2.7497107352411096,1.9906231772807579,2.7497107352410932,-3.1932786918837763,-4.2807227067768983,-3.1932786918837888,-4.2807227067769409,1.2434497875801753e-14,4.2632564145606011e-14,8.659739592076221e-15,1.6431300764452317e-14
17,0,0,1.9232826424865077,2.6970645905151924,1.9232826424864986,2.6970645905151751,-3.0653013401497553,-4.1651977989210538,-3.0653013401497669,-4.1651977989210947,1.1546319456101628e-14,4.0856207306205761e-14,9.1038288019262836e-15,1.7319479184152442e-14
17.5,0,0,1.8577839129683715,2.6456266963292943,1.8577839129683622,2.6456266963292761,-2.9413886866867207,-4.0532387586169003,-2.94138868668673,-4.0532387586169403,9.3258734068513149e-15,3.9968028886505635e-14,9.3258734068513149e-15,1.8207657603852567e-14
